Item ID;Part Number;NSN;Nama Barang;PN Lama;Nama Lama;Gudang;Rak;Jumlah;Satuan;Harga Satuan;Komoditi;Komponen;Transaksi Terakhir;Lanud/Depo;Status;Keterangan
IT-100148445;"HL19PB6-7; BACB30FN6-7; GB510B3-7";5320-00-969-4517;PIN-RIVET;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148449;HLT116-12-24;5320-01-220-0824;PIN-RIVET;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148453;HLT128-8-20;5320-01-321-8766;PIN-RIVET;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148540;"5970-P.1432503-4; THERMOFIT 4MM(BLUE); COMMERCIA";1560-AU-PAH-3670;THERMOFIT / HEAT SHRINK TUBING 4 MM (BLUE);;;TB SATHAR 11;01B 032 002;0;ROLL;;KT-1B;N;;DEPO 10;ACTIVE;
IT-100148570;ARDROX 2526;8010-99-752-7548;REMOVER,PAINT;;;GPD 10;;0;DRUM;;;N;;DEPO 10;ACTIVE;
IT-100148644;MBEU188102-1;1350-AU-PAH-3396;PARACHUTE ASSY WITH HEAD BOX COMPLETE;;;TB SATHAR 11;KOTAK DUS BESAR;0;EA;;KT-1B;N;;DEPO 10;ACTIVE;
IT-100148670;VA213-6-9;2520-AU-PAH-3900;JO BOLT;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148674;CBS-6-1-N-8F;1660-AU-PAH-3908;SLEEVE;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148675;CBS-6-1-N-14S;1660-AU-PAH-3909;SLEEVE;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148676;"7075T60.063 SIZE4""X6"" FT";5136-AU-PAH-3910;ALLUMUNIUM SHEET;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148686;CBS-6-0-N-24S;1660-AU-PAH-3952;SLEEVE;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148687;CBS-6-1-N-24F;1660-AU-PAH-3953;SLEEVE;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148693;NAS75-5-010;3120-00-585-4766;BUSHING,SLEEVE;;;TB SATHAR 11;01B 02C D06;0;EA;;KT-1B;N;;DEPO 10;ACTIVE;
IT-100148699;"9-94-94-19A; 9550120250";4730-14-383-5863;;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148857;MS3100R20-7S;5935-00-853-1532;CONNECTOR,RECEPTACLE,ELECTRICAL;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148861;MS3450W20-7S;5935-01-077-7165;CONNECTOR,RECEPTACLE,ELECTRICAL;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148893;451662;5998-00-675-3559;PRINTED WIRING BOARD;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148894;RCR20G221JM;5905-00-104-8350;RESISTOR,FIXED,COMPOSITION;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148895;"132D606C2052TO;  463590-1";5910-00-997-7987;CAPACITOR,FIXED,ELECTROLYTIC;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
IT-100148898;454974-1;3020-00-675-3562;GEAR,FUEL QUANTITY;;;TB SATHAR 15;;0;EA;;;N;;DEPO 10;ACTIVE;
